year,min,25%,50%,75%,max,country,iso3,tipo
2002,8.1,12.47,15.85,28.95,101.5,Australia,AUS,pr
2003,13.5,20.48,28.2,47.1,113.7,Australia,AUS,pr
2004,15.0,17.75,27.55,56.35,103.9,Australia,AUS,pr
2005,11.6,21.05,35.75,40.0,66.1,Australia,AUS,pr
2006,8.1,13.55,22.5,53.13,116.7,Australia,AUS,pr
2007,9.6,17.68,25.9,56.95,104.2,Australia,AUS,pr
2008,10.3,15.4,23.55,58.7,109.6,Australia,AUS,pr
2009,12.1,16.5,25.5,37.5,129.6,Australia,AUS,pr
2010,14.8,29.33,41.5,69.08,102.2,Australia,AUS,pr
2011,14.8,20.48,28.85,71.12,100.6,Australia,AUS,pr
2012,11.6,17.83,26.05,52.32,95.4,Australia,AUS,pr
2013,12.4,20.9,29.9,48.95,71.7,Australia,AUS,pr
2014,13.6,18.85,26.45,52.75,85.8,Australia,AUS,pr
2015,11.3,20.0,28.45,49.25,103.9,Australia,AUS,pr
2016,21.2,27.78,31.5,57.12,81.3,Australia,AUS,pr
2017,12.5,16.05,29.6,54.55,98.2,Australia,AUS,pr
2018,12.3,17.65,22.9,54.48,86.7,Australia,AUS,pr
2019,10.9,16.2,21.85,40.55,68.7,Australia,AUS,pr
2020,18.1,22.55,27.8,57.75,86.2,Australia,AUS,pr
1960,161.8,206.18,248.9,274.62,288.3,Indonesia,IDN,pr
1961,120.6,136.48,226.4,271.17,287.2,Indonesia,IDN,pr
1962,150.8,220.4,246.95,306.9,344.1,Indonesia,IDN,pr
1963,124.9,149.85,202.55,262.68,341.7,Indonesia,IDN,pr
1964,172.8,222.7,260.4,290.82,304.7,Indonesia,IDN,pr
1965,96.6,159.32,213.9,262.22,297.4,Indonesia,IDN,pr
1966,128.9,191.2,256.3,279.33,347.0,Indonesia,IDN,pr
1967,124.0,158.85,230.35,248.85,313.3,Indonesia,IDN,pr
1968,161.5,199.05,240.4,281.97,327.3,Indonesia,IDN,pr
1969,162.8,185.65,242.25,257.1,293.0,Indonesia,IDN,pr
1970,166.0,222.28,264.75,291.12,306.0,Indonesia,IDN,pr
1971,168.9,235.92,249.6,268.73,306.0,Indonesia,IDN,pr
1972,92.0,128.0,212.7,244.5,272.9,Indonesia,IDN,pr
1973,168.8,225.4,260.4,307.3,335.5,Indonesia,IDN,pr
1974,157.8,201.42,235.8,274.92,286.6,Indonesia,IDN,pr
1975,195.8,244.88,261.55,285.83,306.9,Indonesia,IDN,pr
1976,125.0,162.6,227.15,252.2,305.9,Indonesia,IDN,pr
1977,136.7,192.38,235.75,270.23,322.1,Indonesia,IDN,pr
1978,199.8,220.12,246.7,260.55,328.3,Indonesia,IDN,pr
1979,128.4,195.45,232.1,261.55,294.9,Indonesia,IDN,pr
1980,148.2,195.25,243.95,262.25,310.2,Indonesia,IDN,pr
1981,98.5,227.37,247.85,279.85,316.2,Indonesia,IDN,pr
1982,95.8,132.0,202.45,264.3,294.6,Indonesia,IDN,pr
1983,168.4,191.28,243.6,266.35,297.7,Indonesia,IDN,pr
1984,170.0,226.0,266.4,304.7,320.1,Indonesia,IDN,pr
1985,165.9,205.15,247.45,271.48,288.2,Indonesia,IDN,pr
1986,160.2,198.38,229.75,277.45,341.5,Indonesia,IDN,pr
1987,141.2,165.15,216.25,256.4,300.0,Indonesia,IDN,pr
1988,181.2,231.38,246.75,280.05,340.7,Indonesia,IDN,pr
1989,195.7,210.95,251.95,273.88,301.4,Indonesia,IDN,pr
1990,150.9,186.48,221.45,246.62,322.3,Indonesia,IDN,pr
1991,116.8,136.25,221.65,285.73,305.8,Indonesia,IDN,pr
1992,164.2,182.85,238.55,251.38,301.8,Indonesia,IDN,pr
1993,141.2,176.68,226.35,269.35,288.7,Indonesia,IDN,pr
1994,102.9,159.9,227.3,278.52,358.3,Indonesia,IDN,pr
1995,179.4,195.72,259.4,299.1,317.8,Indonesia,IDN,pr
1996,151.9,209.08,254.6,287.2,294.4,Indonesia,IDN,pr
1997,111.6,143.08,208.55,248.95,263.6,Indonesia,IDN,pr
1998,210.2,226.88,241.65,267.83,288.6,Indonesia,IDN,pr
1999,171.1,195.23,272.05,286.65,312.3,Indonesia,IDN,pr
2000,178.2,220.12,255.75,288.42,318.2,Indonesia,IDN,pr
2001,144.3,197.72,264.8,297.35,330.0,Indonesia,IDN,pr
2002,141.1,165.85,221.7,274.9,303.4,Indonesia,IDN,pr
2003,163.8,190.2,268.8,299.23,316.7,Indonesia,IDN,pr
2004,106.8,178.32,240.0,271.38,304.7,Indonesia,IDN,pr
2005,163.6,175.3,255.1,273.88,303.0,Indonesia,IDN,pr
2006,133.6,150.07,233.9,294.75,312.1,Indonesia,IDN,pr
2007,163.4,206.7,253.2,289.52,311.6,Indonesia,IDN,pr
2008,195.3,220.75,254.2,307.05,324.1,Indonesia,IDN,pr
2009,153.5,169.15,240.6,291.73,337.5,Indonesia,IDN,pr
2010,229.2,256.92,283.1,307.2,334.4,Indonesia,IDN,pr
2011,157.7,206.87,255.85,295.17,327.4,Indonesia,IDN,pr
2012,161.2,174.82,273.35,292.42,334.7,Indonesia,IDN,pr
2013,177.5,189.55,273.0,284.42,333.5,Indonesia,IDN,pr
2014,164.5,170.87,214.25,257.2,332.1,Indonesia,IDN,pr
2015,112.5,137.45,231.8,265.35,289.3,Indonesia,IDN,pr
2016,179.8,225.77,259.1,286.9,298.2,Indonesia,IDN,pr
2017,191.9,206.3,269.45,296.1,334.1,Indonesia,IDN,pr
2018,145.6,203.68,261.2,282.18,314.6,Indonesia,IDN,pr
2019,114.0,175.1,232.9,268.7,286.5,Indonesia,IDN,pr
2020,169.6,230.32,257.85,279.0,329.2,Indonesia,IDN,pr
